Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Community Aerodrome Radio Station Servcies,DEBRA BLATTLER,"$2,189.48",2010-04-01,C00002753,1,,,Highways & Public Works,Service,Value Driven,Dawson City,P,2012-13
Community Aerodrome Radio Station Servcies,DEBRA BLATTLER,"$4,542.47",2010-04-01,C00002753,2,,,Highways & Public Works,Service,Value Driven,Dawson City,P,2012-13
Airport Maintainer Servcies,DEBRA BLATTLER,$99.55,2010-04-01,C00002754,1,,,Highways & Public Works,Service,Value Driven,Dawson City,P,2012-13
Custodial Services at Dawson City Airport,JOHN T BROOKS O/A,"$13,275.00",2010-04-01,C00003026,2,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2012-13
Business Requirements Documents for ASU & FCS,MICHAEL G TRIBES,$0.00,2010-04-01,C00003091,3,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Waste management for Whitehorse area schools,TLE NAX T AWEI INDUSTRIAL LTD,$995.10,2010-04-01,C00003177,2,,,Education,Service,Price Driven,Whitehorse,P,2012-13
HRMS PeopleSoft System Consulting & Support,38593 YUKON INC O/A,$0.00,2010-04-01,C00003187,2,,,Public Service Commission,Service,Value Driven,Whitehorse,I,2012-13
Carcross Water Delivery,YUKON WATER SERVICES 1989 LTD,"$2,928.86",2010-04-01,C00002888,3,,,Community Services,Service,Price Driven,Carcross,P,2012-13
Community Aerodrome Radio Station Servcies,BILL BURDES O/A,"$4,497.41",2010-04-01,C00002764,1,,,Highways & Public Works,Service,Value Driven,Watson Lake,P,2012-13
Community Aerodrome Radio Station Servcies,BILL BURDES O/A,"$9,326.81",2010-04-01,C00002764,2,,,Highways & Public Works,Service,Value Driven,Watson Lake,P,2012-13
Congenital Anomalies Survellance Info Analysis,SHANNON RYAN O/A,-$812.47,2010-02-05,C00002867,2,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Custodial Services at 5663 and 5631 Mayo,TERRANCE BROWN,"$11,950.04",2010-04-01,C00003682,2,,,Highways & Public Works,Service,Price Driven,Mayo,I,2012-13
"Mosquito Control Program for 2010, 2011, 2012",DG REGAN & ASSOCIATES LTD,"$11,050.00",2010-04-01,C00003410,2,,,Community Services,Service,Value Driven,Other,P,2012-13
Custodial & Garbage Removal RR Air Terminal Bld,JAMES A CHAPMAN O/A,"$1,980.00",2010-04-01,C00003428,2,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"$212,165.47",2010-05-17,C00003322,9,,,Highways & Public Works,Service,Price Driven,Other,P,2012-13
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"$3,124,558.08",2010-05-17,C00003322,10,,,Highways & Public Works,Service,Price Driven,Other,P,2012-13
Supply and Delivery of Asphalt Emulsion,POUNDER EMULSIONS LTD,"-$217,934.26",2010-05-17,C00003322,11,,,Highways & Public Works,Service,Price Driven,Other,P,2012-13
Cleaning Serivces for EMR District Office,MICHAEL MISKELL O/A TO THE T,$0.00,2010-06-01,C00004031,2,,,Highways & Public Works,Service,Price Driven,Teslin,D,2012-13
Bridge Painting Inspection & Quality Assurance Ser,GROUNDTRAX INC.,$0.00,2010-05-19,C00004037,1,,,Highways & Public Works,Service,Value Driven,Pelly Crossing,P,2012-13
"Grass Cutting-Various Buildings, Mayo",IAN SPENCER,"$8,300.00",2010-05-14,C00004109,2,,,Highways & Public Works,Service,Price Driven,Mayo,I,2012-13
Destruction Bay Septic/Sewage Analysis,EBA ENGINEERING,"-$1,864.46",2010-05-21,C00004048,3,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,D,2012-13
Horticultural Work Mayo YG Buildings,SYLVIE MENELON O/A,"$4,884.00",2010-05-10,C00003811,2,,,Highways & Public Works,Service,Price Driven,Mayo,I,2012-13
System and Standard Development,GORDON GILGAN & CORLISS BURKE,"$7,500.00",2010-05-01,C00003872,3,,,Health & Social Services,Service,Value Driven,Whitehorse,P,2012-13
Solid Waste Facility Attendants Carcross & Tagish,GEORGE WHITE O/A,"$4,800.00",2010-05-10,C00003801,1,,,Community Services,Service,Price Driven,Whitehorse,P,2012-13
Solid Waste Facility Attendants Carcross & Tagish,GEORGE WHITE O/A,"$1,851.75",2010-05-10,C00003801,2,,,Community Services,Service,Price Driven,Whitehorse,P,2012-13
Detailed Engineering Design Whistle Bend Sub,ASSOCIATED ENGINEERING,"$500,598.53",2010-04-01,C00003901,6,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2012-13
MAYO FIRE HALL BUILDING,VILLAGE OF MAYO,$0.00,2010-07-01,C00004490,3,,,Highways & Public Works,Real Property Lease,Value Driven,Mayo,D,2012-13
415 BAXTER STREET,6770 YUKON LTD,"$56,609.12",2010-07-01,C00004504,3,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2012-13
ROYAL CENTRE,12963 YUKON INC,"$8,805.80",2010-07-01,C00004464,2,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2012-13
3RD FL- FINANCIAL PLAZA,TUTSHI FINANCIAL DEVELOPMENT,"$10,391.50",2010-07-01,C00004470,2,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,P,2012-13
VENDOME PLACE - 305 JARVIS STREET - 3RD FLOOR,VENDOME DEVELOPMENT CORP,"-$114,666.66",2010-07-01,C00004476,4,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,P,2012-13
ROYAL CENTRE - 4TH & 1ST FLOORS,12963 YUKON INC,"$58,365.30",2010-07-01,C00004479,3,,,Highways & Public Works,Real Property Lease,Value Driven,Whitehorse,D,2012-13
Provision of TDG and WHMIS online Training,SOLOCKS.COM TRAINING INC,"-$5,085.50",2010-05-31,C00004252,1,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Grum Sulphide Cell Cover Construction,PELLY CONSTRUCTION LTD,"$6,138.50",2010-06-03,C00004265,7,,,"Energy, Mines & Resources",Construction,Price Driven,Faro,P,2012-13
Carmacks Wastewater Collection & Disposal,YUKON ENGINEERING SERVICES INC,"$74,311.50",2010-07-10,C00004800,5,,,Community Services,Service,Value Driven,Carmacks,P,2012-13
Development & Implement Program Evaluation,GRAHAM & ASSOCIATES,"$5,582.00",2010-07-20,C00004853,2,,,Health & Social Services,Service,Value Driven,Whitehorse,P,2012-13
Alarm System Monitoring - Various Locations,ADVANCE SECURITY & AUTOMATION,"$2,374.60",2010-07-01,C00004868,3,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2012-13
Alarm System Monitoring - Various Locations,ADVANCE SECURITY & AUTOMATION,"$7,500.00",2010-07-01,C00004868,4,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2012-13
Create Two Original Artworks Whse Airport Display,MARK PRESTON,"-$4,050.00",2010-07-16,C00004945,6,,,Tourism And Culture,Service,Value Driven,Whitehorse,I,2012-13
LYNN BUILDING - ALL FLOORS,33225 YUKON INC,"$11,897.49",2010-04-01,C00004610,3,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2012-13
Highway Construction Km 53.6 to 59.7 Campbell Hwy,J E SELLORS SERVICES LTD,$0.00,2010-06-18,C00004587,4,,,Highways & Public Works,Construction,Request for Bids,Other,P,2012-13
Carcross Sewage Trtmt Facility Water Lic Renewal,ECOLOGICAL LOGISTICS &,$0.00,2010-08-03,C00005248,5,,,Community Services,General Consulting,Value Driven,Carcross,D,2012-13
Garbage Removal at Various Locations Whitehorse,PACIFIC NORTHWEST MOVING,"$3,604.92",2010-08-01,C00005261,2,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2012-13
Range Road Watermain Phase 1 Engineering Services,ASSOCIATED ENGINEERING,$0.00,2010-08-02,C00005102,6,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2012-13
Deep Crk Waste Fac. Site Maint.-SS 951 3074 59160,BRYAN BUCHANAN,"$9,025.36",2010-07-16,C00005031,3,,,Community Services,Service,Price Driven,Other,P,2012-13
Bridge Repair Work-Lower & Upper Rancheria-Hwy#1,ANDCO ENTERPRISES LTD,$0.00,2010-07-21,C00005099,4,,,Highways & Public Works,Construction,Request for Bids,Swift River,P,2012-13
iPHIS Data Conversion,38593 YUKON INC O/A,$0.00,2010-09-01,C00005663,2,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Keno City Water Delivery & Water Treatment Plant,JAMES MILLEY O/A,"$5,000.00",2010-09-24,C00005718,1,,,Community Services,Service,Value Driven,Whitehorse,P,2012-13
Downtown Roadworks and Highway Turning Lanes,NORCOPE ENTERPRISES LTD,"$60,730.73",2010-08-17,C00005525,8,,,Community Services,Service,Value Driven,Carcross,P,2012-13
Downtown Roadworks and Highway Turning Lanes,NORCOPE ENTERPRISES LTD,$0.20,2010-08-17,C00005525,9,,,Community Services,Service,Value Driven,Carcross,P,2012-13
Downtown Roadworks and Highway Turning Lanes,NORCOPE ENTERPRISES LTD,"-$17,279.51",2010-08-17,C00005525,10,,,Community Services,Service,Value Driven,Carcross,P,2012-13
Downtown Roadworks and Highway Turning Lanes,NORCOPE ENTERPRISES LTD,"$10,717.51",2010-08-17,C00005525,11,,,Community Services,Service,Value Driven,Carcross,P,2012-13
Downtown Roadworks and Highway Turning Lanes,NORCOPE ENTERPRISES LTD,"-$54,168.93",2010-08-17,C00005525,12,,,Community Services,Service,Value Driven,Carcross,P,2012-13
Data Input Sorting / Coding of Information on Requ,ROBERT JAMES (JIM) CONNOR,$859.56,2010-07-12,C00005368,1,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
Data Input Sorting / Coding of Information on Requ,ROBERT JAMES (JIM) CONNOR,"$6,000.00",2010-07-12,C00005368,2,,,Tourism And Culture,Service,Value Driven,Whitehorse,D,2012-13
To Provide Sound Amplification & Recording Service,UNITECH SOUND & LIGHTING INC,$0.00,2010-09-01,C00005472,2,,,Executive Council Office,Service,Value Driven,Whitehorse,P,2012-13
Pick up & Storage of Hazardous Waste Pelly Rv Bdg,TLE NAX T AWEI INC O/A,"$2,700.00",2010-10-08,C00006098,2,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Assessment of Watson Lake Sewer Infrastructure,KERR WOOD LEIDAL ASSOCIATES,$0.00,2010-09-30,C00006110,6,,,Community Services,Engineering/Architectural,Value Driven,Watson Lake,P,2012-13
Assessment of Watson Lake Sewer Infrastructure,KERR WOOD LEIDAL ASSOCIATES,"$272,882.00",2010-09-30,C00006110,7,,,Community Services,Engineering/Architectural,Value Driven,Watson Lake,P,2012-13
Assessment of Watson Lake Sewer Infrastructure,KERR WOOD LEIDAL ASSOCIATES,$0.00,2010-09-30,C00006110,8,,,Community Services,Engineering/Architectural,Value Driven,Watson Lake,P,2012-13
Community Access Program Prov Access to Internet,OUTSIDE THE CUBE MANAGEMENT,"-$1,322.85",2010-10-13,C00006148,2,,,Economic Development,Service,Value Driven,Whitehorse,P,2012-13
Community Access Program Prov Access to Internet,OUTSIDE THE CUBE MANAGEMENT,"$21,000.00",2010-10-13,C00006148,3,,,Economic Development,Service,Value Driven,Whitehorse,P,2012-13
Ross River Water Treatment Plant & Firehall,DAVID KELLAND ARCHITECTURE,-$0.06,2010-09-20,C00006223,2,,,Highways & Public Works,Engineering/Architectural,Value Driven,Ross River,P,2012-13
Ross River Water Treatment Plant & Firehall,DAVID KELLAND ARCHITECTURE,$0.06,2010-09-20,C00006223,3,,,Highways & Public Works,Engineering/Architectural,Value Driven,Ross River,P,2012-13
Avalanche Control Kl Hwy Re SS09551764-59861,YUKON MOUNTAIN & RIVER,"$35,000.00",2010-10-01,C00005963,2,,,Highways & Public Works,Service,Price Driven,Carcross,P,2012-13
Avalanche Control Kl Hwy Re SS09551764-59861,YUKON MOUNTAIN & RIVER,$0.00,2010-10-01,C00005963,3,,,Highways & Public Works,Service,Price Driven,Carcross,P,2012-13
Lease Space 211 Hawkins Street,NACNUD HOLDINGS LTD,"$16,170.08",2010-10-01,C00005795,1,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2012-13
Telecommunications Advisory Services,JAMES H PRATT CONSULTING,"-$4,200.00",2010-09-30,C00005966,2,,,Economic Development,Service,Value Driven,Whitehorse,P,2012-13
Storage of Household Goods for Tenure,BANDSTRA TRANSPORTATION,$930.00,2010-08-15,C00005975,1,,,Education,Service,Value Driven,Whitehorse,I,2012-13
Office Paper & Cardboard Pickup Various Locations,RAVEN RECYCLING SOCIETY,"$38,604.80",2010-10-01,C00005890,2,,,Highways & Public Works,Service,Value Driven,Whitehorse,P,2012-13
Heavy Equipment Snow Removal RR Com Centre,NELSON SISSON O/A,$810.00,2010-11-15,C00006470,4,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
Snow Removal for the Ross River School,NELSON SISSON O/A,"$1,820.00",2010-11-10,C00006472,3,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
Snow Removal for the Ross River School,NELSON SISSON O/A,$685.00,2010-11-10,C00006472,4,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
Loading & Transp of Recyclable Material Dawson C,TLE NAX T AWEI INDUSTRIAL LTD,$0.00,2010-12-01,C00006564,2,,,Community Services,Service,Price Driven,Dawson City,P,2012-13
Snow Removal for Ross River PMD Shop,NELSON SISSON O/A,$595.00,2010-11-10,C00006473,3,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
12 Parking Stalls Justice Reference to C00004421,10532 YUKON LTD,"$10,800.00",2010-12-01,C00006525,3,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2012-13
Snow Removal for the Ross River Health Centre,NELSON SISSON O/A,"$3,035.00",2010-11-10,C00006476,3,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
Snow Removal for the Ross River Health Centre,NELSON SISSON O/A,"$1,105.00",2010-11-10,C00006476,4,,,Highways & Public Works,Service,Price Driven,Ross River,I,2012-13
"Bridge Design Nisutlin, Tatchun and Flat Creek",ASSOCIATED ENGINEERING,$0.00,2010-10-27,C00006574,2,,,Highways & Public Works,Service,Request for Proposals,Teslin,P,2012-13
Lease Da Ku Cultural Centre Haines Junction,CHAMPAGNE AISHIHIK FIRST,$0.00,2010-07-01,C00006486,2,,,Highways & Public Works,Real Property Lease,Price Driven,Haines Junction,D,2012-13
Provision of Airport Maintainer Services,BILL BURDES O/A,$41.34,2010-11-01,C00006308,1,,,Highways & Public Works,Service,Value Driven,Teslin,P,2012-13
Ross River Roadworks & Drainage System Improv Proj,42256 YUKON INC O/A,$0.00,2010-11-08,C00006415,4,,,Community Services,Engineering/Architectural,Value Driven,Ross River,P,2012-13
Ross River Roadworks & Drainage System Improv Proj,42256 YUKON INC O/A,"$256,879.87",2010-11-08,C00006415,5,,,Community Services,Engineering/Architectural,Value Driven,Ross River,P,2012-13
Assist with Travel and Per Diems for Road Trips,DR PIERRE OLIVER ADEM-BEGIN,"$20,000.00",2010-11-22,C00006416,2,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Assist with Travel and Per Diems for Road Trips,DR PIERRE OLIVER ADEM-BEGIN,"$14,000.00",2010-11-22,C00006416,3,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Mayo - Country Residential Airport Subdivision Prp,INUKSHUK PLANNING &,$0.00,2010-11-03,C00006372,3,,,Community Services,Service,Value Driven,Mayo,D,2012-13
Collection & Destruction of Confidential Materials,RAVEN RECYCLING SOCIETY,"$15,000.00",2010-10-01,C00006346,6,,,Highways & Public Works,Service,Price Driven,Whitehorse,D,2012-13
Community Aerodrome Radio Station Services Teslin,BILL BURDES O/A,$688.79,2010-11-01,C00006305,1,,,Highways & Public Works,Service,Value Driven,Teslin,P,2012-13
Electrical Distribution Materials & Street Lightin,YUKON ELECTRICAL COMPANY,$0.00,2011-01-24,C00006966,1,,,Community Services,Service,Price Driven,Whitehorse,D,2012-13
Land Use Agreement,CATHOLIC EPISCOPAL CORP OF,$111.38,2010-08-15,C00007030,2,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2012-13
ss 851 3004 55908,QUEST ENGINEERING GROUP INC,$0.00,2008-06-25,SS08513079-55908,3,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2012-13
Lease Property Elijah Smith Building EMR,RECEIVER GENERAL FOR CANADA,"$636,183.59",2010-09-01,C00006992,4,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2012-13
Lease Property Elijah Smith Building EMR,RECEIVER GENERAL FOR CANADA,"-$99,883.37",2010-09-01,C00006992,5,,,Highways & Public Works,Real Property Lease,Price Driven,Whitehorse,D,2012-13
Audit Shakwak Projects,WALTER GUTOWSKI O/A GUTOWSKI,$0.00,2011-01-21,C00006993,1,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Facilitate Discussion on Issues Associated BGD,TIMBER BEAR MANAGEMENT INC,"$9,595.62",2011-01-10,C00006900,2,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,D,2012-13
Isotope analysis of grizzly bear samples,AQUATECH ENVIROSCIENCE,"$9,000.00",2010-12-16,C00006671,1,,,Environment,Service,Price Driven,Other-Non Yukon,P,2012-13
Grizzly Valley Subdivision YECL Surveying /Engin,YUKON ELECTRICAL COMPANY,$0.00,2010-12-14,C00006870,2,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Grizzly Valley Subdivision YECL Surveying /Engin,YUKON ELECTRICAL COMPANY,"-$5,000.00",2010-12-14,C00006870,3,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Ground Temperature Monitoring Ross River School,EBA ENGINEERING,"-$2,590.65",2010-04-30,C00006695,3,,,Highways & Public Works,Engineering/Architectural,Value Driven,Ross River,D,2012-13
Fire Smarting - Whistle Bend Sub Stage 1 & 2,42135 YUKON INC,$0.00,2011-01-06,C00006887,1,,,Community Services,Construction,Value Driven,Whitehorse,D,2012-13
Fire Smarting - Whistle Bend Sub Stage 1 & 2,42135 YUKON INC,"-$91,160.00",2011-01-06,C00006887,2,,,Community Services,Construction,Value Driven,Whitehorse,D,2012-13
Quarry Development - Stevens Quarry Subdivision,CITY OF WHITEHORSE,"$123,360.00",2010-11-16,C00006888,2,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Child's Lawyer Services provided by Laura Cabott,"CABOTT & CABOTT, BARRISTERS","$1,036.50",2011-04-01,C00007600,2,,,Justice,Service,Value Driven,Whitehorse,D,2012-13
Inspection & engineering certification of hoists,KLONDIKE CRANE INSPECTIONS LTD,"$11,000.00",2011-05-02,C00007508,3,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Inspection & engineering certification of hoists,KLONDIKE CRANE INSPECTIONS LTD,$975.00,2011-05-02,C00007508,4,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Prov Design & Inspections for Water System Upgrade,OPUS DAYTON KNIGHT CONSULTANTS,$0.00,2011-03-02,C00007510,1,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,D,2012-13
Survey services for Wharf Development Project,YUKON ENGINEERING SERVICES INC,"-$26,604.09",2011-03-02,C00007481,2,,,Community Services,Construction,Value Driven,Whitehorse,D,2012-13
Supply Catering Y Maintenance Services to Tuchitua,TONY & PHYLLIS WENTWORTH O/A,"$109,134.00",2011-04-01,C00007531,2,,,Highways & Public Works,Service,Price Driven,Other,P,2012-13
Lighting Upgrade Jack Hulland School,ARCRITE NORTHERN LTD,"-$8,734.00",2011-03-01,C00007588,4,,,Highways & Public Works,Service,Price Driven,Whitehorse,P,2012-13
Provide Bottled Water to Various Northern Area Cmp,POP STOP ETC,$325.00,2011-04-01,C00007492,1,,,Highways & Public Works,Service,Value Driven,Dawson City,D,2012-13
Consulting Services,AON CONSULTING,"$5,000.00",2011-04-01,C00007141,1,,,Legislative Assembly,Service,Value Driven,Whitehorse,D,2012-13
Consulting Servcies to Develop New Best Bldg Pract,TIMOTHY TURNER-DAVIS O/A,$0.00,2011-02-03,C00007380,4,,,Highways & Public Works,Service,Price Driven,Whitehorse,I,2012-13
Stage 1 Faro Water and Sewer Infrastructure Improv,OPUS DAYTON KNIGHT CONSULTANTS,$0.00,2010-10-25,CO00000000-06425,6,,,Community Services,Service,Value Driven,Faro,P,2012-13
Stage 1 Faro Water and Sewer Infrastructure Improv,OPUS DAYTON KNIGHT CONSULTANTS,"-$60,000.00",2010-10-25,CO00000000-06425,7,,,Community Services,Service,Value Driven,Faro,P,2012-13
Develop Nine Elder Posters,DIANNE VILLESECHE,$0.00,2011-01-31,C00007175,3,,,Education,Service,Value Driven,Whitehorse,D,2012-13
GE 951 3012 60049,OPUS DAYTON KNIGHT CONSULTANTS,$0.00,2010-01-25,GE09513012-60049,9,,,Community Services,General Consulting,Value Driven,Haines Junction,P,2012-13
See original contract C00004142 with Dayton & Knight,OPUS DAYTON KNIGHT CONSULTANTS,"$10,000.00",2010-05-27,CO00000000-04142,4,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2012-13
Develop a Local Area Plan for the Carcross Com,INUKSHUK PLANNING &,"$10,000.00",2011-02-23,C00007415,2,,,"Energy, Mines & Resources",Service,Value Driven,Whitehorse,I,2012-13
GE 951 3012 60049,OPUS DAYTON KNIGHT CONSULTANTS,"$143,125.00",2010-01-25,GE09513012-60049,10,,,Community Services,General Consulting,Value Driven,Haines Junction,P,2012-13
See original Dayton & Knight contract C00003308,OPUS DAYTON KNIGHT CONSULTANTS,$0.00,2010-04-01,CO00000000-03308,3,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2012-13
Dawson Infrastructure Heating Project,STANTEC ARCHITECTURE LTD,"$24,000.00",2011-04-01,C00008027,6,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Placement of advertising for HSS,AASMAN DESIGN INC,"$49,000.00",2011-04-01,C00008109,2,,,Health & Social Services,Service,Value Driven,Whitehorse,I,2012-13
Internal Trade Support Services,JEAN PIERRE FLAMENT O/A,"$50,000.00",2011-04-01,C00008110,1,,,Economic Development,General Consulting,Price Driven,Whitehorse,P,2012-13
Custodial Services,ELAINE HENDERSON O/A,"$3,049.00",2011-04-01,C00008075,1,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2012-13
Custodial Services,PHILIP GAGNON,"$21,600.00",2011-04-01,C00007988,1,,,Highways & Public Works,Service,Price Driven,Mayo,I,2012-13
Slims River Bridge replacement-Shakwak,RUSKIN CONSTRUCTION LTD,$0.00,2009-03-23,CC08550024-50128,7,,,Highways & Public Works,Construction,Request for Bids,Other,P,2012-13
"HWY.CONST. KM 1716.6 TO 1723.6, SHAKWAK",GOLDEN HILL VENTURES LIMITED,$0.00,2004-03-26,CC03553632-00062,2,,,Highways & Public Works,Construction,Request for Bids,Whitehorse,P,2012-13
Old Crow Roadworks & Drainage System Imprvement Project Ph.2,PORCUPINE ENTERPRISES LTD,"-$496,382.50",2011-02-14,C00007996,2,,,Community Services,Construction,Value Driven,Old Crow,D,2012-13
"HIGHWAY CONSTRUCTION KM 1723.2 TO KM 1734.6, SHAKWAK",GOLDEN HILL VENTURES LIMITED,$0.00,2003-04-10,CC03553003-00004,3,,,Highways & Public Works,Construction,Request for Bids,Other,P,2012-13
GE 951 3013 60053,DAVID NAIRNE & ASSOCIATES LTD,$0.00,2010-01-14,GE09513013-60053,5,,,Community Services,General Consulting,Value Driven,Ross River,P,2012-13
GE 951 3010 59721,QUEST ENGINEERING GROUP INC,$0.00,2009-10-26,GE09513010-59721,2,,,Community Services,Engineering/Architectural,Value Driven,Whitehorse,P,2012-13
Consulting & Accounting work for YTG,AON REED STENHOUSE INC O/A,$352.20,2011-04-01,C00008046,1,,,Public Service Commission,Service,Value Driven,Whitehorse,D,2012-13
"Detour and Construct Guide Banks, Slims River, Shakwak",P. S. SIDHU TRUCKING LTD.,$0.00,2009-05-14,CC09550011-50147,2,,,Highways & Public Works,Construction,Price Driven,Other,P,2012-13
"HIGHWAY CONST. KM 1707.0 TO KM 1717.4, SHAKWAK",GOLDEN HILL VENTURES LIMITED,$0.00,2005-04-15,CC05550002-00002,2,,,Highways & Public Works,Construction,Request for Bids,Other,P,2012-13
Garbage pickup/disposal at Macaulay Lodge,TLE NAX T AWEI INC O/A,$240.34,2011-04-01,C00007954,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
"HIGHWAY CONSTRUCTION KM 1758.7 TO 1768.1, SHAKWAK",GOLDEN HILL VENTURES LIMITED,$0.00,2001-07-23,CC01093032-00037,3,,,Highways & Public Works,Construction,Request for Bids,Other,P,2012-13
Faro Mine Complex - Care and Maintenace,DENISON MINES INC O/A,"$150,000.00",2008-07-28,GN08533096-57059,7,,,"Energy, Mines & Resources",General Consulting,Value Driven,Faro,P,2012-13
"BEAVER CREEK BRIDGE REPLACEMENT, km 1931, SHAKWAK",KETZA CONSTRUCTION,$0.00,2004-09-08,CC04550025-00044,6,,,Highways & Public Works,Construction,Request for Bids,Beaver Creek,P,2012-13
Abattior Services,ARTHUR A LOCK O/A,"$27,018.24",2011-04-01,C00008016,1,,,"Energy, Mines & Resources",Service,Price Driven,Whitehorse,P,2012-13
SS 851 3154 56577,YUKON ENGINEERING SERVICES INC,$0.00,2008-09-19,SS08513154-56577,5,,,Community Services,Service,Value Driven,Whitehorse,P,2012-13
Custodial Services at OTAB - Dawson Muesum,SYLVIA BURKHARD,"$18,720.00",2011-04-01,C00007962,1,,,Highways & Public Works,Service,Price Driven,Dawson City,I,2012-13
Alteration of EMS issue uniforms,RITA RICKS O/A,"-$2,594.00",2011-04-01,C00008101,1,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Whistle Bend Subdivision Stages 1 & 2 Deep Utiliti,NORCOPE ENTERPRISES LTD,-$0.01,2011-03-28,C00007976,2,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Whistle Bend Subdivision Stages 1 & 2 Deep Utiliti,NORCOPE ENTERPRISES LTD,"$1,815,894.82",2011-03-28,C00007976,3,,,Community Services,Construction,Price Driven,Whitehorse,P,2012-13
Health Informatics Business Analyst,GIL SAMPSON,$0.00,2011-04-01,C00008059,4,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Dawson Infrastructure Heating Project,STANTEC ARCHITECTURE LTD,$0.00,2011-04-01,C00008027,4,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Dawson Infrastructure Heating Project,STANTEC ARCHITECTURE LTD,"$53,517.50",2011-04-01,C00008027,5,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Design advertising & social marketing initiatives,AASMAN DESIGN INC,"-$49,000.00",2011-04-01,C00008107,2,,,Health & Social Services,Service,Value Driven,Whitehorse,I,2012-13
Provide pathology services to Coroners Office,VANCOUVER COASTAL HEALTH,"$2,000.00",2011-04-01,C00007734,1,,,Justice,Service,Value Driven,Whitehorse,D,2012-13
Assessments and Tutoring Services,LEARNING DISABILITIES,"$5,000.00",2011-04-01,C00007751,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Counselling Services,JOANNE HUTSUL,$980.00,2011-04-01,C00007814,1,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Custodial Services Watson Lake Airport Terminal,DARRELL BAUMAN O/A,"$16,400.00",2011-04-01,C00007817,1,,,Highways & Public Works,Service,Price Driven,Watson Lake,I,2012-13
Custodial Services Watson Lake Airport Terminal,DARRELL BAUMAN O/A,$40.00,2011-04-01,C00007817,2,,,Highways & Public Works,Service,Price Driven,Watson Lake,I,2012-13
