Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
General Systems Support,38593 YUKON INC O/A,"$4,500.00",2012-07-26,C00014694,1,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2012-13
General Systems Support,38593 YUKON INC O/A,"$4,000.00",2012-07-26,C00014694,2,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2012-13
INSTALL A POWER LINE SERVICE FOR LOT 1029,YUKON ELECTRICAL COMPANY,"$17,450.00",2012-06-12,C00014753,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
INSTALL A POWER LINE SERVICE FOR LOT 1016,DION BENOIT O\A,"$15,180.13",2012-07-18,C00014754,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Equipment Rental using Third Party Rental Rates,16142 YUKON INC,"-$2,391.00",2012-07-24,C00014583,1,,SR12-014,Highways & Public Works,Service,Price Driven,Whitehorse,P,2012-13
Develop web site structure for public website,AASMAN BRAND COMMUNICATIONS,"$7,900.00",2012-07-19,C00014584,Original,,4102,Environment,Service,Price Driven,Whitehorse,I,2012-13
Develop web site structure for public website,AASMAN BRAND COMMUNICATIONS,$80.00,2012-07-19,C00014584,1,,4102,Environment,Service,Price Driven,Whitehorse,I,2012-13
Install a hook-up via an underground,CHRISTIAN J BERNECHE,"$12,950.00",2012-07-12,C00014585,Original,,,Community Services,Service,Value Driven,Other,D,2012-13
Inidgent Cremation,AMHERST FUNERAL SERVICES,"$2,000.00",2012-07-24,C00014635,Original,,,Health & Social Services,Service,Price Driven,Whitehorse,D,2012-13
"UST Removal and Remediation, Haines Junction Env. Compound",WESLEY KLIPPERT O/A,"$24,300.00",2012-07-25,C00014636,Original,,,Environment,Service,Value Driven,Haines Junction,P,2012-13
Stewart River Heritage Sites Inventory,FIRST NATION OF,"$9,500.00",2012-07-30,C00014637,Original,,,Tourism And Culture,Service,Value Driven,Mayo,D,2012-13
Stewart River Heritage Sites Inventory,FIRST NATION OF,$0.00,2012-07-30,C00014637,1,,,Tourism And Culture,Service,Value Driven,Mayo,D,2012-13
Pika survey,TRANS NORTH TURBO AIR LTD,"$5,500.00",2012-07-31,C00014695,Original,,,Environment,Aircraft Charter,Price Driven,Dawson City,D,2012-13
Pika survey,TRANS NORTH TURBO AIR LTD,$580.54,2012-07-31,C00014695,1,,,Environment,Aircraft Charter,Price Driven,Dawson City,D,2012-13
Capital Budgeting System - Redesign,38593 YUKON INC O/A,"$15,000.00",2012-07-01,C00014696,Original,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2012-13
Replacing culverts,WILFS CONTRACTING LTD,"$6,500.00",2012-07-27,C00014697,Original,,SR12-004,Highways & Public Works,Equipment Rental,Price Driven,Mayo,P,2012-13
Install a hook-up via an underground,ERIK VAL,"$3,607.50",2012-07-20,C00014755,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
"Heritage Resource Impact Assessment, Hwy# Km 109 Pit Devlpmt",ECOFOR CONSULTING BC LTD,"$6,970.00",2012-08-01,C00014756,Original,, SOA-55-12-006,Highways & Public Works,Service,Value Driven,Whitehorse,I,2012-13
Subgrade Strengthening km 1240 Alaska Highway,JACMILL ACRES,"$23,434.65",2012-08-01,C00014757,Original,,,Highways & Public Works,Service,Value Driven,Teslin,D,2012-13
"Provide cleaning services Bldgs: 1289, 1308, 1341, 1446.",ROMEO & ELIZABETH GAYANGOS O/A,"$30,685.00",2012-07-16,C00014586,Original,,,Highways & Public Works,Service,Price Driven,Whitehorse,I,2012-13
To provide age determinations from aging fish structures,NORTH/SOUTH CONSULTANTS INC,"$3,100.70",2012-07-18,C00014587,Original,,,Environment,Service,Value Driven,Whitehorse,I,2012-13
Grizzly DNA grid takedown,TRK HELICOPTERS (BC) LTD,"$36,750.00",2012-07-24,C00014638,Original,,,Environment,Aircraft Charter,Price Driven,Whitehorse,I,2012-13
Grizzly DNA grid takedown,TRK HELICOPTERS (BC) LTD,$0.00,2012-07-24,C00014638,1,,,Environment,Aircraft Charter,Price Driven,Whitehorse,I,2012-13
Facilitation of Talk Matters & Talk Matters Revisited,CAROLYN (LYN) C HARTLEY,"$14,662.50",2012-08-01,C00014639,Original,,,Health & Social Services,Service,Value Driven,Whitehorse,D,2012-13
Installation of electrical to Lot 10 in Callison,43565 YUKON INC O/A,"$3,000.00",2012-07-23,C00014640,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Physician Services to the Town of Watson Lake,RAHEL AHMED,"$6,593.22",2012-07-13,C00014641,Original,,,Health & Social Services,Service,Value Driven,Watson Lake,D,2012-13
Secondary Electrical System for Lot 1021,YUKON ENERGY CORPORATION,"$3,500.00",2012-07-27,C00014698,Original,,,Community Services,Service,Value Driven,Whitehorse,D,2012-13
Pour Concrete slab at the Carmacks Health Center,JAMES T BEACON,"$6,800.00",2012-07-25,C00014699,Original,,,Highways & Public Works,Service,Price Driven,Carmacks,D,2012-13
Pour Concrete slab at the Carmacks Health Center,JAMES T BEACON,$300.00,2012-07-25,C00014699,1,,,Highways & Public Works,Service,Price Driven,Carmacks,D,2012-13
"Soil Testing, Sample Analysis and Report on Contamination",APERTURE CONSULTING INC,"$11,500.00",2012-07-30,C00014701,Original,,,Highways & Public Works,General Consulting,Value Driven,Whitehorse,D,2012-13
